|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|
|benalish missionary||creature||human cleric|&^/&^|{WW}|{^WW}, T: prevent all combat damage that would be dealt by target blocked creature this turn.|

|blood baron of vizkopa||creature||vampire|&^^^^/&^^^^|{^^^WWBB}|lifelink\protection from white and from black\as long as you have thirty or more life and an opponent has &^^^^^^^^^^ or less life, @ gets +&^^^^^^/+&^^^^^^ and has flying.|

|rosheen meanderer|legendary|creature||giant shaman|&^^^^/&^^^^|{^^^RG}|T: add {CCCCCCCC} to your mana pool. spend this mana only on costs that contain {XX}.|

|clone legion||sorcery||||{^^^^^^^UUUU}|for each creature target player controls, put a token onto the battlefield that's a copy of that creature.|

|enslaved horror||creature||horror|&^^^^/&^^^^|{^^^BB}|when @ enters the battlefield, each other player may return a creature card from his or her graveyard to the battlefield.|

|skirk prospector||creature||goblin|&^/&^|{RR}|sacrifice a goblin: add {RR} to your mana pool.|

|mesa pegasus||creature||pegasus|&^/&^|{^WW}|flying\banding|

|luminarch ascension||enchantment||||{^WW}|at the beginning of each opponent's end step, if you didn't lose life this turn, you may put a % counter on @.\{^WW}: put a &^^^^/&^^^^ white angel creature token with flying onto the battlefield. activate this ability only if @ has four or more % counters on it.\countertype % quest|

|qarsi high priest||creature||human cleric|&/&^^|{BB}|{^BB}, T, sacrifice another creature: manifest the top card of your library.|

|mana vault||artifact||||{^}|@ doesn't untap during your untap step.\at the beginning of your upkeep, you may pay {^^^^}. if you do, untap @.\at the beginning of your draw step, if @ is tapped, it deals &^ damage to you.\T: add {CCCCCC} to your mana pool.|

|resuscitate||instant||||{^GG}|until end of turn, creatures you control gain "{^}: regenerate this creature."|

|cinder storm||sorcery||||{^^^^^^RR}|@ deals &^^^^^^^ damage to target creature or player.|

|nissa's revelation||sorcery||||{^^^^^GGGG}|scry &^^^^^, then reveal the top card of your library. if it's a creature card, you draw cards equal to its power and you gain life equal to its toughness.|

|psychic spiral||instant||||{^^^^UU}|shuffle all cards from your graveyard into your library. target player puts that many cards from the top of his or her library into his or her graveyard.|

|siege wurm||creature||wurm|&^^^^^/&^^^^^|{^^^^^GGGG}|convoke\trample|

|ondu giant||creature||giant druid|&^^/&^^^^|{^^^GG}|when @ enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.|

|abandon hope||sorcery||||{XX^BB}|as an additional cost to cast @, discard X cards.\look at target opponent's hand and choose X cards from it. that player discards those cards.|

|complicate||instant||||{^^UU}|cycling {^^UU}\uncast target spell unless its controller pays {^^^}.\when you cycle @, you may uncast target spell unless its controller pays {^}.|

|drake hatchling||creature||drake|&^/&^^^|{^^UU}|flying\{UU}: @ gets +&^/+& until end of turn. activate this ability only once each turn.|

|tortoise formation||instant||||{^^^UU}|creatures you control gain shroud until end of turn.|

|reef pirates||creature||zombie pirate|&^^/&^^|{^UUUU}|whenever @ deals damage to an opponent, that player puts the top card of his or her library into his or her graveyard.|

|oakenform||enchantment||aura||{^^GG}|enchant creature\enchanted creature gets +&^^^/+&^^^.|

|eye of ramos||artifact||||{^^^}|T: add {UU} to your mana pool.\sacrifice @: add {UU} to your mana pool.|

|scapeshift||sorcery||||{^^GGGG}|sacrifice any number of lands. search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle your library.|

|wayward angel||creature||angel horror|&^^^^/&^^^^|{^^^^WWWW}|flying\vigilance\threshold ~ as long as seven or more cards are in your graveyard, @ gets +&^^^/+&^^^, is black, has trample, and has "at the beginning of your upkeep, sacrifice a creature."|

|well~laid plans||enchantment||||{^^UU}|prevent all damage that would be dealt to a creature by another creature if they share a color.|

|ogre leadfoot||creature||ogre|&^^^/&^^^|{^^^^RR}|whenever @ becomes blocked by an artifact creature, destroy that creature.|

|tolarian emissary||creature||human wizard|&^/&^^|{^^UU}|flying\when @ enters the battlefield, if it was kicked, destroy target enchantment.\kicker {^WW}|

|nameless race||creature|||*/*|{^^^BB}|trample\as @ enters the battlefield, pay any amount of life. the amount you pay can't be more than the total number of white nontoken permanents your opponents control plus the total number of white cards in their graveyards.\@'s power and toughness are each equal to the life paid as it entered the battlefield.|

|elephant grass||enchantment||||{GG}|cumulative upkeep {^}\black creatures can't attack you.\nonblack creatures can't attack you unless their controller pays {^^} for each creature he or she controls that's attacking you.|

|dawn of the dead||enchantment||||{^^BBBBBB}|at the beginning of your upkeep, you lose &^ life.\at the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield. that creature gains haste until end of turn. exile it at the beginning of the next end step.|

|pentarch ward||enchantment||aura||{^^WW}|enchant creature\as @ enters the battlefield, choose a color.\when @ enters the battlefield, draw a card.\enchanted creature has protection from the chosen color. this effect doesn't remove @.|

|troublesome spirit||creature||spirit|&^^^/&^^^^|{^^UUUU}|flying\at the beginning of your end step, tap all lands you control.|

|jareth, leonine titan|legendary|creature||cat giant|&^^^^/&^^^^^^^|{^^^WWWWWW}|whenever @ blocks, it gets +&^^^^^^^/+&^^^^^^^ until end of turn.\{WW}: @ gains protection from the color of your choice until end of turn.|

|mask of riddles||artifact||equipment||{UUBB}|equip {^^}\equipped creature has fear.\whenever equipped creature deals combat damage to a player, you may draw a card.|

|undead slayer||creature||human cleric|&^^/&^^|{^^WW}|{WW}, T: exile target skeleton, vampire, or zombie.|

|mindreaver||creature||human wizard|&^^/&^|{UUUU}|heroic ~ whenever you cast a spell that targets @, exile the top three cards of target player's library.\{UUUU}, sacrifice @: uncast target spell with the same name as a card exiled with @.|

|primal beyond||land|||||as @ enters the battlefield, you may reveal an elemental card from your hand. if you don't, @ enters the battlefield tapped.\T: add {CC} to your mana pool.\T: add one mana of any color to your mana pool. spend this mana only to cast an elemental spell or activate an ability of an elemental.|

|riot control||instant||||{^^WW}|you gain &^ life for each creature your opponents control. prevent all damage that would be dealt to you this turn.|

|oraxid||creature||crab beast|&^^/&^^^|{^^^UU}|protection from red|

|whiptongue frog||creature||frog|&^/&^^^|{^^UU}|{UU}: @ gains flying until end of turn.|

|hillcomber giant||creature||giant scout|&^^^/&^^^|{^^WWWW}|mountainwalk|

|screams from within||enchantment||aura||{^BBBB}|enchant creature\enchanted creature gets -&^/-&^.\when enchanted creature dies, return @ from your graveyard to the battlefield.|

|nantuko vigilante||creature||insect druid mutant|&^^^/&^^|{^^^GG}|morph {^GG}\when @ is turned face up, destroy target artifact or enchantment.|

|evil eye of urborg||creature||eye|&^^^^^^/&^^^|{^^^^BB}|non~eye creatures you control can't attack.\whenever @ becomes blocked by a creature, destroy that creature.|

|hunting pack||instant||||{^^^^^GGGG}|storm\put a &^^^^/&^^^^ green beast creature token onto the battlefield.|

|cyclonic rift||instant||||{^UU}|overload {^^^^^^UU}\return target nonland permanent you don't control to its owner's hand.|

|strength of unity||enchantment||aura||{^^^WW}|enchant creature\domain ~ enchanted creature gets +&^/+&^ for each basic land type among lands you control.|

|vengeance||sorcery||||{^^^WW}|destroy target tapped creature.|

|frontline sage||creature||human wizard|&/&^|{^^UU}|exalted\{UU}, T: draw a card, then discard a card.|

|puncturing light||instant||||{^WW}|destroy target attacking or blocking creature with power &^^^ or less.|

|mizzium transreliquat||artifact||||{^^^}|{^^^}: @ becomes a copy of target artifact until end of turn.\{^UURR}: @ becomes a copy of target artifact and gains this ability.|

|jarad's orders||sorcery||||{^^BBGG}|search your library for up to two creature cards and reveal them. put one into your hand and the other into your graveyard. then shuffle your library.|

|silence||instant||||{WW}|your opponents can't cast spells this turn.|

|scytheclaw||artifact||equipment||{^^^^^}|equip {^^^}\living weapon\equipped creature gets +&^/+&^.\whenever equipped creature deals combat damage to a player, that player loses half his or her life, rounded up.|

|legerdemain||sorcery||||{^^UUUU}|exchange control of target artifact or creature and another target permanent that shares one of those types with it.|

|gaea's cradle|legendary|land|||||T: add {GG} to your mana pool for each creature you control.|

|goblin charbelcher||artifact||||{^^^^}|{^^^}, T: reveal cards from the top of your library until you reveal a land card. @ deals damage equal to the number of nonland cards revealed this way to target creature or player. if the revealed land card was a mountain, @ deals double that damage instead. put the revealed cards on the bottom of your library in any order.|

|flame javelin||instant||||{2R2R2R}|\@ deals &^^^^ damage to target creature or player.|

|haunting wind||enchantment||||{^^^BB}|whenever an artifact becomes tapped or a player activates an artifact's ability without T in its activation cost, @ deals &^ damage to that artifact's controller.|

|ashnod's altar||artifact||||{^^^}|sacrifice a creature: add {CCCC} to your mana pool.|

|squeeze||enchantment||||{^^^UU}|sorcery spells cost {^^^} more to cast.|

|slipstream serpent||creature||serpent|&^^^^^^/&^^^^^^|{^^^^^^^UU}|morph {^^^^^UU}\@ can't attack unless defending player controls an island.\when you control no islands, sacrifice @.|

|armadillo cloak||enchantment||aura||{^GGWW}|enchant creature\enchanted creature gets +&^^/+&^^ and has trample.\whenever enchanted creature deals damage, you gain that much life.|

|filigree sages||artifact creature||vedalken wizard|&^^/&^^^|{^^^UU}|{^^UU}: untap target artifact.|

|sage's reverie||enchantment||aura||{^^^WW}|enchant creature\when @ enters the battlefield, draw a card for each aura you control that's attached to a creature.\enchanted creature gets +&^/+&^ for each aura you control that's attached to a creature.|

|sentry of the underworld||creature||griffin skeleton|&^^^/&^^^|{^^^WWBB}|flying\vigilance\{WWBB}, pay &^^^ life: regenerate @.|

|rhox war monk||creature||rhino monk|&^^^/&^^^^|{GGWWUU}|lifelink|

|celestial kirin|legendary|creature||kirin spirit|&^^^/&^^^|{^^WWWW}|flying\whenever you cast a spirit or arcane spell, destroy all permanents with that spell's converted mana cost.|

|powder keg||artifact||||{^^}|at the beginning of your upkeep, you may put a % counter on @.\T, sacrifice @: destroy each artifact and creature with converted mana cost equal to the number of % counters on @.\countertype % fuse|

|grave bramble||creature||plant|&^^^/&^^^^|{^GGGG}|defender\protection from zombies|

|rolling thunder||sorcery||||{XXRRRR}|@ deals X damage divided as you choose among any number of target creatures and/or players.|

|seafloor debris||land|||||@ enters the battlefield tapped.\T: add {UU} to your mana pool.\T, sacrifice @: add one mana of any color to your mana pool.|

|invulnerability||instant||||{^WW}|buyback {^^^}\the next time a source of your choice would deal damage to you this turn, prevent that damage.|

|phyrexian hulk||artifact creature||golem|&^^^^^/&^^^^|{^^^^^^}||

|ember swallower||creature||elemental|&^^^^/&^^^^^|{^^RRRR}|{^^^^^RRRR}: monstrosity &^^^.\when @ becomes monstrous, each player sacrifices three lands.|

|destructive revelry||instant||||{RRGG}|destroy target artifact or enchantment. @ deals &^^ damage to that permanent's controller.|

|tuknir deathlock|legendary|creature||human wizard|&^^/&^^|{RRRRGGGG}|flying\{RRGG}, T: target creature gets +&^^/+&^^ until end of turn.|

|withering wisps||enchantment||||{^BBBB}|at the beginning of the end step, if no creatures are on the battlefield, sacrifice @.\{BB}: @ deals &^ damage to each creature and each player. activate this ability no more times each turn than the number of snow swamps you control.|

|biovisionary||creature||human wizard|&^^/&^^^|{^GGUU}|at the beginning of the end step, if you control four or more creatures named @, you win the game.|

|riptide biologist||creature||human wizard|&^/&^^|{^UU}|protection from beasts\morph {^^UU}|

|elder mastery||enchantment||aura||{^^^UUBBRR}|enchant creature\enchanted creature gets +&^^^/+&^^^ and has flying.\whenever enchanted creature deals damage to a player, that player discards two cards.|

|winding canyons||land|||||T: add {CC} to your mana pool.\{^^}, T: until end of turn, you may play creature cards as though they had flash.|

|mischief and mayhem||sorcery||||{^^^^GG}|up to two target creatures each get +&^^^^/+&^^^^ until end of turn.|
